source,year,month,day,hour,season,pm
us_post,2010,1,1,23,4,129.0
us_post,2010,1,2,0,4,148.0
us_post,2010,1,2,1,4,159.0
us_post,2010,1,2,2,4,181.0
us_post,2010,1,2,3,4,138.0
us_post,2010,1,2,4,4,109.0
us_post,2010,1,2,5,4,105.0
us_post,2010,1,2,6,4,124.0
us_post,2010,1,2,7,4,120.0
us_post,2010,1,2,8,4,132.0
us_post,2010,1,2,9,4,140.0
us_post,2010,1,2,10,4,152.0
us_post,2010,1,2,11,4,148.0
us_post,2010,1,2,12,4,164.0
us_post,2010,1,2,13,4,158.0
us_post,2010,1,2,14,4,154.0
us_post,2010,1,2,15,4,159.0
us_post,2010,1,2,16,4,164.0
us_post,2010,1,2,17,4,170.0
us_post,2010,1,2,18,4,149.0
us_post,2010,1,2,19,4,154.0
us_post,2010,1,2,20,4,164.0
us_post,2010,1,2,21,4,156.0
us_post,2010,1,2,22,4,126.0
us_post,2010,1,2,23,4,90.0
us_post,2010,1,3,0,4,63.0
us_post,2010,1,3,1,4,65.0
us_post,2010,1,3,2,4,55.0
us_post,2010,1,3,3,4,65.0
us_post,2010,1,3,4,4,83.0
us_post,2010,1,3,5,4,91.0
us_post,2010,1,3,6,4,86.0
us_post,2010,1,3,7,4,82.0
us_post,2010,1,3,8,4,86.0
us_post,2010,1,3,9,4,78.0
us_post,2010,1,3,10,4,98.0
us_post,2010,1,3,11,4,107.0
us_post,2010,1,3,12,4,90.0
us_post,2010,1,3,13,4,96.0
us_post,2010,1,3,14,4,95.0
us_post,2010,1,3,15,4,86.0
us_post,2010,1,3,16,4,70.0
us_post,2010,1,3,17,4,61.0
us_post,2010,1,3,18,4,53.0
us_post,2010,1,3,19,4,71.0
us_post,2010,1,3,20,4,72.0
us_post,2010,1,3,21,4,76.0
us_post,2010,1,3,22,4,73.0
us_post,2010,1,3,23,4,79.0
us_post,2010,1,4,0,4,58.0
us_post,2010,1,4,1,4,25.0
us_post,2010,1,4,2,4,26.0
us_post,2010,1,4,3,4,28.0
us_post,2010,1,4,4,4,26.0
us_post,2010,1,4,5,4,20.0
us_post,2010,1,4,6,4,29.0
us_post,2010,1,4,7,4,26.0
us_post,2010,1,4,8,4,27.0
us_post,2010,1,4,9,4,27.0
us_post,2010,1,4,10,4,25.0
us_post,2010,1,4,11,4,29.0
us_post,2010,1,4,12,4,32.0
us_post,2010,1,4,13,4,28.0
us_post,2010,1,4,14,4,29.0
us_post,2010,1,4,15,4,30.0
us_post,2010,1,4,16,4,30.0
us_post,2010,1,4,17,4,28.0
us_post,2010,1,4,18,4,26.0
us_post,2010,1,4,19,4,31.0
us_post,2010,1,4,20,4,33.0
us_post,2010,1,4,21,4,29.0
us_post,2010,1,4,22,4,31.0
us_post,2010,1,4,23,4,30.0
us_post,2010,1,5,0,4,34.0
us_post,2010,1,5,1,4,27.0
us_post,2010,1,5,2,4,25.0
us_post,2010,1,5,3,4,28.0
us_post,2010,1,5,4,4,28.0
us_post,2010,1,5,5,4,27.0
us_post,2010,1,5,6,4,27.0
us_post,2010,1,5,7,4,27.0
us_post,2010,1,5,8,4,29.0
us_post,2010,1,5,9,4,36.0
us_post,2010,1,5,10,4,30.0
us_post,2010,1,5,11,4,27.0
us_post,2010,1,5,12,4,39.0
us_post,2010,1,5,13,4,41.0
us_post,2010,1,5,14,4,33.0
us_post,2010,1,5,15,4,50.0
us_post,2010,1,5,16,4,56.0
us_post,2010,1,5,17,4,59.0
us_post,2010,1,5,18,4,60.0
us_post,2010,1,5,19,4,84.0
